,0
69,-surveiller la temperature avec un thermometre - si fievre ou douleur paracetamol
70,lipanthyl 145 mg 1 comprimé le soir
71,1 gelule matin et soir
72,flector gel une application matin et soir
73,arreter de donner les gouttes de zyma tous les jours ; noter dans le carnet de sante la date de prise de lampoule
74,a garder au refrigerateur
75,rappel a 4 mois
76,nouvelle plaquette
77,monuril 3 g 1 sachet en dose unique si sfu
78,le soir arreter les ecrans dordinateur tv portable et telephone a partir de 21h30
79,1 capsule matin et soir avant les repas avec un verre deau pendant 6 mois
80,cif mte non subsituable
81,lutenyl 5mg  lep le soir
82,dafalgan 1 g x3 par jour
83,losartan 50 (1 le matin)
84,fortzaar 100/25mg1 comprimé le matin
85,3comprimes matin la veille du traitement
86,1 comprime tous les 2 jours pendant 6 mois
87,"mydriaticum 2mgi04 ml collute boite de 20 unidoses de 0,40 ml "
88,une gelule en cas de douleur 1 a 3 fois par jour 1 boite
89,1 comprime 3 a 4 fois/jour si forte douleurs
90,1 comprime 1 a 3 fois par jour pendani 15 jours
91,stylos jetables dinsuline xultophy 21 unites le soir
92,quantité suffisante pour 5 jours
93,"faire 1 pulverisation le matin, le midi et le soir, pendant 7 jours apres physiomer et mouchage nez"
94,"prendre 1 pulverisetion le matin et le soir, pendant 1 mois"
95,lactulose 1 sachet par jour
96,2 cuillere a cafe matin et soir pendant 1 mois
97,"prendre 1 comprime le soir, pendant 8 jours"
98,duphaston 5 mg 1cp par jour
99,1 boite
100,1 dosette matin et soir pendant 10 jours quantité suffisante pour 10 jours
101,"faire pratiquer dans un laboratoire, a jeun, le test respiratoire 4"
102,"prendre 1 comprime le soir, pendant 1 mois"
103,"prendre, par voie orale, 1 comprime par jour, pendant 3 mois"
104,"chaque palier, dadaptation posologique, le traitement doit"
105,voie  orale
106,"administrer 2 bouffees le matin et le soir, pendant 8 jours avantdekaitela fixetite en cas de virose orl / toux"
107,"minirinmelt, la posologie initiale est de 120 pg par jour en 1"
108,a la demande pendant 3 mois
109,1 comprimé  1 gel par jour
110,"1 application le soir sur les zones seches, pendant 7 jours a renouveler 2 fois"
111,* cdilue dans 100 ml de serum physiologique
112,en respirant par le ngz bouche fermee
113,"1/2 comprime, le matin le midi et soir, pendant 1 semaine"
114,une ampoule tous les 3 mois pendant 6 mois
115,au milieu des repas arret si douleurs a lestomac
116,";a commencer 24h apres fintervention ne pas ricer, ne pas avaler"
117,"1 cuilleremesure par voie orale le matin, pendant 3 mois"
118,prendre 1 sachet le matin
119,1 comprime matin et soir au moment du repas avec un grand vere deau pendant 5 jours
120,"prendre 2 comprimes par jour, pendant 3 jours"
121,1 application 2 fois par jour pendant 6 jours
122,ordonnance pour 6 mois
123,une cuillere a soupe le midi et le soir a renouveler si besoin
124,i comprime le matin pendant 6 mois
125,pendant 6 mois
126,"slenyto 1mg 2 comprimes une fois par jour, 30 min1 heure avant le"
127,"acupan 20 mg/2 ml, solution injectable (20 mg/2 ml) pour 1 jours"
128,quantité suffisante pour 12 mois
129,chaque changement de saison
130,a delivrer en quantite surfisante pour 3 mois
131,", ndant 3 mois"
132,2 capsule le matin au petitdejeuner a avaler avec un verre deau quantité suffisante pour 6 mois
133,forxiga 10 mg 1 comprimé le matin
134,1 goutte 3 fois par jour pendant 1 mois
135,"1 application par voie cutanee le matin, pendant 10 jours"
136,2 gelules par jour en continy
137,"prendre 2 comprimes le matin, 1 a midi, 2 le soir, pendant 3 mois"
138,2 boites tramadol 200 mg cpr
139,"5 gouttes par voie orale le soir, pendant 3 mois"
140,*advagraf 5mg le matin ns mte
141,1 injection sous cutanee par jour
142,( neisvac 1 vaccin
143,1 mesure dosee a 6 kgs ce soir et demain matin
144,"sous le sein, appliquer mycoster creme le matin pendant 15 jours"
145,2 flacons renouvelables 3 tois
146,3 comprimes par jour on cas de nausoes
147,administrer 1 dosekg par prise toutes les 56 heures maximum 4 prises dans 1 joumee de 24h si lenfant a de la
148,pour hernie ombilicale reductible
149,a renouveler toute les 6heures
150,2) masque chirurgical 10/semaine pendant 3 mois
151,1 comprimé le soir
152,ixprim  1 a 2 comprimé toutes les 6 heures si douleur
153,heures 
154,"zero virgule cing comprime par voie orale le matin et le soir, pendant trois mois"
155,"1 comprime par voie orale le soir, pendant 3 mois"
156,"xanax (0,5) 1 a 2 aux 3 repas, un comprime au coucher ( une boite)"
157,2 flacons
158,januvia 50 (1 le matin et le soir
159,1 comprime toutes les 6 heures (max 3 cmprimes/jour) si gouelurs nu fievre sup a 38c pendant 6 joiurs
160,a renouveter 6 fois
161,voie orale
162,"sous le scin, appliquer mycoster ereme le matin pendant 15 jours"
163,1 ampoule a boire une fois
164,1 comprime par jour pendant 12 mois
165,pendant 7 jours
166,2 gelutes (voie orale) 2 fois par jour pendant 6 jours
167,"prendre 2 comprimes le matin, a midi et le soir, pendant 3 mois si douleurs"
168,par semaine
169,2 comprimé / jour ( midi / soir ) pendant 8 jours
170,> si loubli a lieu dans la premiere semaine de la plaquette  vous avez eu des rapports sexueis dans les 5 jours precedents loubli 
171,"prendre, par voie orale, 1 sachet par jour, pendant 3 mois"
172,2 flacons renouvelables 3 fois
173,a renouveler 2 fois
174,1/2 comprimé le matin
175,mettre dans lil opere (des le jour de lintervention)
176,"a dans votre plaquette, ne pas respecter le delai de 7 jours sans pilule)"
177,"antarene 400mg : si douleurs articulaires importantes, 1 le matin, 1 a midi"
178,"midi, le soir pendant 3 a 4 jours par mois"
179,"avaler avec un peu deau, de lait ou jus de fruit 2 boites"
180,a 11 mois
181,1 gelule toutes les 6 heures si douleurs ou fievre
182,1x2/jour
183,1 comprime en cas de douleur uniquement
184,"prendre, par voie orafe, 1 comprime effervescent par prise toutes les 4 haures, pendant 1 semaine"
185,quantité suffisante pour 9 mois
186,1 mois
187,"lugol fort 5% 15 gouttes le matin, a midi et le soir pendant 10 j"
188,3 comprimes le matin pendant 4 jours
189,un comprime parjoir6 mois mte
190,renouvellable 2 fois
191,pendant 15 jours
192,21 jours
193,1cp le matin au lever
194,appliquer 2 tubes par jour sur lensemble de la peau sauf le visage quantité suffisante pour 1 mois
195,"bain de bouche en gargarisme pendant 2 a 3 minutes, 2 et 4 fois par jour"
196,a renouveler 3 fois
197,1 comprime 1 fois par jour a avaler ou disperser dans 1/2 vere deau pendant 7 jours
198,> 1 dose poids /6h si fievre >382
199,prendre un comprime matin et soir au cours des repas pendant 6 jours
200,bicar de na 1g 2 gel midi et soir
201,100/ an
202,rhinotrophyl 4 fois par jour quantité suffisante pour 5 jours
203,ramipril 125 mg  1 comprimé le matin
204,"traitement pour 6 mois,"
205,idose 3 fois par jour pendant 5 jours
206,quantité suffisante pour 6 mois a renouveler
207,2 boites
208,quantité suffisante pour 10 de chaque par mois
209,2 application par jour 1 tube
210,"1 a 2 cuilleres a soupe, 3 fois par jour, 6 a 8 jours"
211,prendre des le debut de la crise zomigoro
212,un comprime le matin quantité suffisante pour 6 mois
213,tramadol lp 200 mg  2 comprimes matin et 2 comprimé soir
214,posologie  20 mg 6h/14h/22h
215,dimanche et feries compris
216,"1 goutte, le matin et soir, dans ies deux yeux, pendant 6 mois"
217,matin et soir de 10 minutes
218,> 3 gouttes par jour
219,"1 comprime le matin, 1 comprime le soir"
220,1 goutte 4 fois par jour pendant 1 semaine
221,glucophage 500 (1 le matin et le soir fin de repas)
222,1 ampoule tous les 2 mois
223, gynefam supragrossesse xl 1 comprime par jour pendant 3 mois
224,i sachet le midi pendant 3 mois
225,sans depasser cette posologie
226,200 mg 1 comprimé matin et soir
227,si besoin
228,"1 comprime 1 a 3 fois par jour selon besoin, en espacant les prises de 4h minimum maximum"
229,un comprime le matin pendant 6 mois
230,3 plaquettes à renouveler une fois
231,1 gelule a la fin du petitdejeuner a avaler sans macher avec un verre deau 6 mois
232,"laver le cuir chevelu 2 fois par semaine pendant 1 mois, puis apres amelioration, 1 fois"
233,dafalgan codeine 2 comprimes 3 fois par jour selon les douleurs pendant une semaine
234,quantité suffisante pour 4 mois
235,1 comprime par jour en cas de douleurs
236,"prendre, par voie orale, 1 comprime le matin, le midi et le soir, pendant 5 jours"
237,"prendre 6 pastilles par jour, pendant 4 jours"
238,"i comprime matin, midi et soir pendant 3 mois,"
239,jours
240,januvia 100 mg 1 comprimé le matin
241,"1 gelule par jour, pendant 7 jours (1 le soir)"
242,1 comprimé le soir si douleurs
243,i comprime le soir pendant 6 mois
244,1 gelule a inhaler le matin pendant 3 mois
245,"2 gelules matin, midi et soir pendant les repas pendant 7 jours"
246,prendre la contraception durgence en plus
247,bout dune semaine de traitement
248,"3 comprimes, pendant 4 jours (1 le matin, 1 a midi, 1 le soir)"
249,2 bouffees si gene respiratoire ou sifflement nocturne
250,inexium 20mg : 1 le soir durant la prise dantiinflammatoire
251,"2 cuilleres a cafe matin, midi et soir pendant 3 mois"
252,4 comprimes par jour
253,traitement de crise a prendre des le debut de la crise 
254,si apres une heure vous netes pas soulagee prendre ibuprofene 400 mg
255,60 mg par jour le matin au petit dejeuner pendant 3 semaines puis
256,2 boites a renouveler selon besoin
257,lansoprazole 15 mg le midi
258,faire urie seance daerosol sonique
259,"2 gellules, le matin, dans les deux yeux, pendant 1 semaine"
260,serelys homme  2 cp/ jour quantité suffisante pour 6 mois
261,lyrica 200 mg gel plg/84)1 cm le matin et soir pendant a mois
262,bandelettes (1 au leyer)
263,"prendre, par voie orale, 2 comprimes par jour, pendant 3 mois"
264,"1 application matin et soir sur le corps, 2 tubes a renouveler 2 fois"
265,1 goutte 3 fois par jour pendant 1 mols
266,32u le matin et le soir
267,1/2 comprimé le soir
268,2 mesures matin midi soir et au coucher pendant 8 jours
269,1 ampoule / mois
270,monotildiem 300 mg 1 comprimé le matin
271,"etre progressivement augmentee, par paliers de 60 ug jusqua"
272,une capsule a prendre pendant un repas une fois par trimestre a chaque changement de saison
273,stagid 700 1 comprimé matin et soir
274,"mg ou 1 g de paracetamol, 1 a 3 fois par jour"
275,emla patch(s) a poserjheure(s)
276,"prendre 1/2 comprime au coucher, pendant 1 semaine"
277,5 mg 1 comprimé par jour en continu
278,a renouveler2 fois
279,gliclazide 30 mg 1 comprimé le matin a augmenter a 2 comprimé si glycemie avant repas > 16 g/l au
280,"coucher, pendant ou apres le repas"
281,par jour pendant 2 mois
282,1 application x 2 j  pendant 7 jours
283,"1 comprime le matin et 1,5le soir"
284,2 pansements par voie cutanee
285,1 comprime par jour en cas de besoin
286,4 gouttes par voie orale 1 fois par jour
287,jour pendant 4 jours (5 jours au
288,iml /j/ 15 j
289,1 application de 2; 5 g 4fois par jour pendaint 14 jours
290,quantité suffisante pour 8 mois
291,1 comprimé le soir si allergies
292,sebiprox shampooing 2 flacons renouvelables 2 fois
293,plus le reste du traitement
294,orale
295,"1 le matin, pendant 1 mois"
296,1 comprimé le matin
297,1 comprimé par jour
298,augmenter de 5 gouttes en 5 gouttes si necessaire jusqua 30 gouttes
299,"1 gelule par voie orale le matin et le soir, pendant 3 mois"
300,"lactibiane 1 par jour, 10 jours"
301,500
302,puis stop 15 jours
303,"bisoprolol 125mg, 1 p le matin"
304,telmisartan 40 mg 1 comprimé le matin
305,i dose matin et soir pendant 3 mois
306,1 comprimé et demi le matin
307,bactrim 400 mg 1 comprimé le matin
308,stylos jetables dinsuline novorapid si besoin aux 3 repas 5 a 10 unites
309,tercian 50 mg 1 comprime 1/2 par jour
310,1 ampoule a boire tous les 3 mois environ pendant 1 an
311,dolenio : 1 sachet /jour
312,1 fois par jour sur les lesions du visage
313,2 ovules /sem
314,1 cuillere a soupe 1 a 4 fois par jours pendant 10 jours
315,"1 dose toutes les 4 heures si douleur ou fievre, selon besoin, 6 mois"
316,"le soir sous le sein efficort hydrophile pendant 7 jours, puis espacer a 1 soir sur 2, 7"
317,appliquer le soir 8 jours; puis espacer a 23 fois par semaine si necessaire
318,4 comprimes une fois par jour pendant 3 mois
319,2 comprimes par jours pendant 8 semaines
320,1 ampoule
321,"1 inhalation (voie inhalee) le matin, le midi, le soir et au coucher pendant 3 mois"
322,a rapporter au moment de lexamen
323,une ampoule sur une petite cuillere suivie dune boisson a chaque changement de saison 
324,oubli inferieur a 12h prendre le comprime oubilie et poursuivre la plaquette
325,quantité suffisante pour 6 mois
326,"xanax 0,25 mg 1 comprime"
327,1 a 2 comprimé parljour au milieu des repas pendant 2 a 3 jours
328,1 comprime 3 a 4 fois/jour si necessaire
329,1 fois par jour
330,"venter 1g 2 fois par jour, pour 2 semaines"
331,quantite 16 unites
332,"uvedose 100 000 unites 1 ampoule trimestrielle, 1 an"
333,30 mg/jour le matin pendant 3 semaines
334,"bisoprolol 1,25 mg le matin"
335,"prendre un comprime en cas de doueir espacer les prises toutes les 6 heures ne pas depasser 4 conprimes par jour,"
336,"prendre 1 comprime le matin et le soir, pendant 6 mois"
337,1 comprime (voie orale) a heure fixe tous les jours sans pause en respectant lordre de la plaquette6 mois
338,"prendre 1 conprime le matin, pendant 6 mois"
339,1 comprimé matin et soir pendant 15 jours puis 2 comprimé (1 gramme) matin et soir
340," mg sur 30 minutes, 1 fois tous les jours"
341,"laroxyl 2 gouttes le soir, a augmenter progressivement de 2 gouttes tous les 23 jours pour arrievr"
342,"1 goutte, le matin et soir, dans les deux yeux, pendant 6 mois"
343,androcur 50 1 comprimé / semaine quantité suffisante pour 6 mois
344,eliquis 5 mg  1 comprimé matin et soir
345,quantité suffisante pour quatre seances
346,aiguilles pour stylo a insuline  bd microfine taille  4 mm 4/ jour
347,"prendre 5 gouttes le soir, pendant 3 mois 1 heure avant le coucher"
348,1 comprime le matin pendant 3 mois
349,realiser un bain de bouche actif de 30 secondes avec i0 ml de produit non dilue matin et soir apres k brossage des dents pendant 7 jours
350, quantité suffisante pour 3 mois
351,à renouveler 1 fois
352,avec masque facial
353,quantité suffisante pour 28 jours
354,1gelule le matin et le soir
355,"> sil vous reste moins de 7 comprimes sur la plaquette, enchainer sur une deuxieme (ne pas prendre les comprimes inactifs sil y en"
356,"3 comprimes, pendant 3 jours (1 le matin, 1 a midi, 1 le soir)"
357,"prendre, par voie orale, 1 sachet le soir, pendant 1 mois apas repas"
358,40 mg/jour le matin pendant 3 semaines puis
359,a partir du lendemain de chaque seance
360,i godet gradue a 15ml de sirop la 4 fois par jour
361,1 comprimé matin
362,1 dose par jour par voie inhalee sans depasser 8 doses par jour
363,posologie  80 mg 20h/8h
364,"prendre 1 comprime le matin, pendant 6 mois saufsamedi et dimanche"
365,ill gouttes  3 par jour dans les deux narines
366,1 comprimé midi
367,a la demande
368,avant le rendezvous sur le haut de(la)(chaque)
369,1 comprimé si besoin
370,puis si douleurs
371,liptruzet 10/20 mg 1 ep le soir
372,"prendre, par voia orale, 5 comprimes par prise toutes les 3 heures, pendant 5 jours"
373,"1 comprimé x 3/semaine (lun, mer, ven)"
374,osp 12 mois
375,1 gelule le matin pendant 2 semaine(s)
376,1 boite lyrica pregabalin 300 mg cpr
377,lamictal 200 lp  un comprime par jour
378,decapeptyl 225 lp 1 injectable intramusculaire a faire 6 mois apres la precedente
379,rivotril 2mg 2 comprimes par jour
380,pour 6 mois
381,"le soir sous le sein efficort hydrophle pendant7igurs, puis espacer a 1 soir sur 2, 7"
382,1 comprime par jour
383,"et i le soir, durant les repas avec une verre deau"
384,"prendre 2 comprimes,une heure avant lintervention"
385,1 a 2 inhalations par jour par voie inhalee
386,produit a rapporter au moment de lexamen
387,ibuprofene 400 mg  1 comprimé x 3/j si douleur
388,1 comprime une fois par jours pendant 30 jours
389,1 sachet en dose unique a prendre a jeun ou 23 heures avant un repas par voie orale
390,i comprime midi et soir pendant 3 mois
391,diffu k 2 comprimé le matin et soir
392,1 comprime 3 fois par jour pendant 5 jours
393,"1 sachet 1 a 4 fois par jour selon besoin, en espacant les prises de 6h"
394,3 comprimes 1 fois par jours pendant 28 jours
395,2 capteurs / mois
396,premier comprimé premier jour des regles
397,"par voie intramusculaire, 3 doses a 0, 2, 6 mois"
398,"prise le soir, en cas defficacite insuffisante,, celleci peut ensuite"
399,"1 comprime par voie orale le matin et le soir, pendant 3 mois"
400,"prendre, par voie orale, 1 gelule le soir, pendant 1 mois"
401,1 dose vaccinante par voie intramusculaire
402,"respectant un intervalle au minimum, de 1 semaine entre"
403,six heures entre chaque prise
404,cortancyl 5 mg/j
405,zelitrex  1cp/ jour
406,"prendre 1 sachet le matin, a midi et le soir, pendant 3 mois possibilite de remplacer par transilane"
407,1 flacon à renouveler 2 fois
408,"1 ampoute, toutes les 3 mois pendant 180 jour(s), pure ou diluee dans un peu deay"
409,une capsule a prendre pendant un repas une fois par trimestre a
410,"fin septembre (automne) , fin decembre (hiver), fin mars (printemps) et fin juin (ete) quantité suffisante pour 12 mois"
411,1 comprime toutes les 6 heures (mex 3 cmprimes/jour) si douelurs ou fievre sup a 38c pendent 6 jours
412,prendre 1 heure avant lintervention
413,50 mg/jour le matin pendant 3 semaines puis
414,"fin septembre, fin decembre, mars, fin juin"
415,"traitement pour 4 mois, renouvelable"
416,"i gelule, matin, midi, soir, coucher"
417,"1 comprime matin et soir, 1 boite"
418,ne pas depasser deux prises du meme medicament par 24 h
419,1 comprimé matin midi et soir pendant 6 jours
420,quantité suffisante pour 
421,2 comprimes par jour 1bts
422,1 cuilere a cafe 3 fois par jour pendant 5 jours
423,1 ampoule par mois
424,1/2 comprimé le matin et 12 comprimé a midi
425,"prendre 1 comprime le matin et le soir, pendant 8 jours"
426,traitement de fond a prendre tous les jours
427,mois
428,maximum 4 par jour
429,1 le matin et le soir pendant 1 mois cif mte non subsituable
430,"1 comprime 2 fois par jour, pendant 7 jours (1 le matin, 1 le soir)"
431,"fin septembre, fin decembre quantité suffisante pour 6 mois"
432,norset 15 mg cpr pell plg/30) 3 cm le soir pendant 1 mois
433,apres toiletteet sechage
434,i comprime 3 fois par jour pendant 5 jours
435,> utiliser un preservatif pendant 7 jours
436,appliquer le produit sur la plaque buccale 2 fois /j/7j
437, quantité suffisante pour 1 an
438,inexium 20 mg 1 comprimé le soir
439,prendre 1 a 2 sachets par prise si constipation
440,ordonnance a renouveler 4 fois
441,puis reprendre aux meme doses pendant 15 jours
442,aprovel 75 mg matin et soir
443,100 matin et 120 midi et 10u soir
444,1 dose
445,laver les 2 fosses nasales 2x/ j
446,"1 comprithe, 1 fois par jour(s) pendant 30 jour(s)"
447,un demi comprime matin pendant 6 mois
448,zyloric 300 mg  quantité suffisante pour 6 mois 
449,o zomigoro si zomigoro a ete efficace
450,"fievre  de 385 et/ou si lenfant est douloureux ( pleurs inexpliquees , douleur oreillegorge)"
451,quantité suffisante pour 30 jours
452,"1 gelule(s) le matin, 1 gelule(s) le soir, 1 gelule(s) au coucher pendant 2 semaine(s)"
453,4 gouttes par jour
454,si vous oublier de prendre une comprime
455,colchimax osp 6 mois
456,i dose 3 fois par jour pendant 5 jours
457,a delivrer en quantite suffisante pour 3 mois
458,traitement pour 6 mois
459,semaine apres la fin du traitement
460,quantité suffisante pour un mois
461,avoir une petite bouteille deau 50cc a boire dans la journee entre les repas ;
462,cellcept 500 mg 1 comprimé matin et soir ns mte
463,pendant 10 jours
464,1 comprime 1 fois par jour au meme moment de la journee pendant
465,diluer 1 sachet dans un biberon de 200 ml deau et en donner autant de fois que necessaire dans la journee
466,masques chirurgicaux 10 par semaine
467,quantité suffisante pour 1 mois
468,1 comprime toutes les 6 heures (max 3 cmprimes/jour) si douelurs ou fievre sup a 36c pendant 6 jours
469,zymad 50000 1 ampoule par mois
470,"prendre 1 application le soir, pendant 8 jours sur les zones deczema et hydratation la matin avec une creme pour"
471,2 comprimé le premier jour puis 1 comprimé par
472,donnance pour6 mois
473,heures  reprendre un comprime
474,1 comprime au coucher pendant 1 mois
475,1 comprime tout les 6 heures si douleur 2 boites
476,"un comprime par voie orale le matin, pendant trois mois"
477,"prendre 1 application le matin et le soir, pendant 10 jours"
478,un comprime matin et soir pendant 6 mois
479, et de j2 a j4
480,dovato (dolutegravir/lamivudine) 1cpfj traitement pour 6 mois
481,a proposer 30 ml par 30 ml a donner si diarrhees ou vomissements ne melanger a rien dautre
482,1 comprimé par jour 21 jours arret 7 jours puis nouvelle plaquette
483,"prendre, par voieorale, 1 dosekg par prise, 4 fois par jour, si fievre ou douleur"
484,"prendre 1 comprime le matin, 10 comprimes le midi et 1 comprime le soir, pendant"
485,"kardegic 75mg, 1 comprimé le matin"
486,injection en intramusculaire
487,la survenue de vomissement ou de diarrhees dans les 3 ou 4 heures suivant la prise du comprime equivaut a un oubli de plus de douze
488,bandelettes glycemiques 1 boite
489,esomeprazole10 (1 le matin)
490,pentasa 1g (1 suppositoire le soir)
491,quantité suffisante pour 3 mois
492,1/ jour pendant 3 mois
493,1 comprime i fois par jourau meme moment de la journee pendant 6 mois
494,etre pris en une prise unique le soir
495,mucomyst 2 fois par jour quantité suffisante pour 5 jours
